MENTION,position,situation,votes,party,state,region,term,age,Twitter,twitter_followers,Facebook,facebook_followers,Instagram,instagram_followers,YouTube,youtube_link,youtube_followers,Site,variations
Sâmia Bomfim,Deputada Federal,Titular em exercício,249.887,PSOL,SP,Sudeste,fev-2019/jan-2023,31,@samiabomfim,391.666,Sâmia Bomfim ,431.139,@samiabomfim,362 mil,UC_tks9vJP0qsjCUHmOWq08g,https://www.youtube.com/channel/UC_tks9vJP0qsjCUHmOWq08g,22.900,,"Sâmia Bomfim, Sâmia Bonfim        Sâmia Bonfin        Sâmia Bomfin        Samia Bom Fim"
Shéridan,Deputada Federal,Titular em exercício,12.024,PSDB,RR,Norte,fev-2019/jan-2023,36,@DepSheridan,43.409,Shéridan Oliveira ,72.988,@deputadasheridan,111 mil,UCuJL0QtppYsKH6KMnvaNN-Q,https://www.youtube.com/user/sheridan4545,801,,"Shéridan, sheridan4545, deputadasheridan, Shéridan Oliveira, DepSheridan, Séridan Oliveira, Cheridan Oliveira        Cheridan, Cheridam        Seridam, Sheridam         Sherydam, Sherida"
Silvia Cristina,Deputada Federal,Titular em exercício,33.038,PDT,RO,Norte,fev-2019/jan-2023,47,@silviacristinax,413,Silvia Cristina ,19.008,@silviacristina.ro,9.704,UCDneHIIe---DIVW4AeG9luA,https://www.youtube.com/channel/UCDneHIIe---DIVW4AeG9luA,71,,"Silvia Cristina, silviacristina.ro, silviacristinax, Silvia Christina"
Soraya Santos,Deputada Federal,Titular em exercício,48.328,PL,RJ,Sudeste,fev-2019/jan-2023,62,@sorayasantos,2.356,Soraya Santos ,19.475,@dep.sorayasantos,8.540,Não tem,,,,"Soraya Santos, Soraia Santos, dep.sorayasantos"
Tabata Amaral,Deputada Federal,Titular em exercício,264.450,PDT,SP,Sudeste,fev-2019/jan-2023,27,@tabataamaralsp,330.063,Tabata Amaral ,402.971,@tabataamaralsp,614 mil,UCWcx5M5negY_kqSawo2bjZQ,https://www.youtube.com/channel/UCWcx5M5negY_kqSawo2bjZQ,11.800,,"Tabata Amaral, tabataamaralsp, Thabata Amaral        Tabita Amaral        Taubata Amaral"
Talíria Petrone,Deputada Federal,Titular em exercício,107.317,PSOL,RJ,Sudeste,fev-2019/jan-2023,35,@taliriapetrone,244.054,Talíria Petrone ,87.820,@taliriapetrone,257 mil,UCr_85T4z-xSLz_sIXbX-wtg,https://www.youtube.com/channel/UCr_85T4z-xSLz_sIXbX-wtg,210,,"Talíria Petrone, Taliria Petroni        Taliria        Talira Petrone        Talira Petroni            Talíria Peltrone, Talira Peltrone"
Tereza Nelma,Deputada Federal,Titular em exercício,44.207,PSDB,AL,Nordeste,fev-2019/jan-2023,63,@terezanelmaal,133,Tereza Nelma ,16.016,@terezanelmaal,"13, 6 mil",UCrqBMtZOQNHUPnb8Y-gF9XA,https://www.youtube.com/channel/UCrqBMtZOQNHUPnb8Y-gF9XA,537,,"Tereza Nelma, terezanelmaal, Thereza Nelma        Theresa Nelma        Teresa Nelma        Tereza Neuma        Teresa Neuma"
Tia Eron,Deputada Federal,Suplente em exercício ,69.153,REPUBLICANOS,BA,Nordeste,março-2021/jan-2023,48,@TiaEron,4.529,Tia Eron ,52.723,@tiaeron,"16, 2 mil",UCc76-jHsn4ZxgObLp2kH_tg,https://www.youtube.com/user/TiaEron/videos,3.006,,"Tia Eron, Tia Erom, Eronilde Vasconcelos        Eronilde Vasconcellos"
Vanda Milani,Deputada Federal,Titular em exercício,22.219,SOLIDARIEDADE,AC,Norte,fev-2019/jan-2023,67,@MilaniVanda,5,-,-,@vandamilani_,1.918,UC0B0q2uJQpzZm8ejTqkiqzw,https://www.youtube.com/channel/UC0B0q2uJQpzZm8ejTqkiqzw/videos,2,,"Vanda Milani, MilaniVanda, Vanda Millani        Wanda Milani        Wanda Millani, Dr. Vanda Milani"
Vivi Reis,Deputada Federal,Efetivado em exercício,22.297,PSOL,PA,Norte,2020/jan-2023,29,@vivireispsol,14.827,Vivi Reis ,9.035,@vivireispsol,"25,4 mil",Não tem,,,,"Vivi Reis, vivireispsol, Viviane Reis"
Eliane Nogueira,Senadora,Suplente em exercício ,,PROGRESSISTAS,PI,Nordeste,,,,,,,,,Não tem,,,,"Eliane Nogueira, elianenogueiral, Elliane Nogueira, mãe do Ciro Nogueira"
Daniella Ribeiro,Senadora,Titular em exercício,,PROGRESSISTAS,PB,Nordeste,2019/2023,,@soudaniella111,14.500,Daniella 111,26.006,@daniellasenadora,66.9 mil,UCRIM6jh_837E4Snng6Teqjw,https://www.youtube.com/channel/UCRIM6jh_837E4Snng6Teqjw,,,"Daniela Ribeiro, soudaniella111, daniellasenadora, Daniella Ribeiro, Daniella Ribero, Daniela Ribero, Danyela Ribeiro, Danyela Ribero"
Eliziane Gama,Senadora,Titular em exercício,,CIDADANIA,MA,Nordeste,2019/2027,,@elizianegama,22.7,Eliziane Gama,45.186,@elizianegama,39.8,Não tem,,,,"Elziane Gama, Elsiane Gama, Elzeane Gama, Elseana Gama, Elisiane Gama, Elisiani Gama, Ellisiane Gama, Ellisiani Gama, Elliziane Gama, Elliziani Gama"
Katia Abreu,Senadora,Titular em exercício,,PROGRESSISTAS,TO,Norte,2015/2023,,@KatiaAbreu,163.6,Kátia Abreu,123.789,@senadorakatiaabreu,44.200,UCa8C78VPlVtvEnLD3WrllHA,https://www.youtube.com/user/senadorakatiaabreu,2.830,,"Katia Abreu, senadorakatiaabreu, katiaabreuoficial, Catia Abreu"
