AUTHOR_ID,TEXT,nn,in_reply_to_user_id,hashtags,possibly_sensitive,conversation_id,source,created_at,type,id1,ID,retweet_count,reply_count,like_count,quote_count,lang,GRAU_OFENSA,TIPO_RETORIC,DESINFO,BRINCADEIRA,GÊNERO,ORIENT.SEX,RACA,APARENCIA,ORIGEM.GEO,COND.FISIC,COND.SOC,RELIG,POL.IDEOLOG,COMENTARIO,OBSERVACOES
1291992150394232832,@CarlaZambelli38 Sai dae loka,341,975127727501185025,NULL,FALSE,1421810500069994498,Twitter for Android,2021-08-01T12:38:51.000Z,replied_to,1421810500069994498,1421812673075941378,0,0,9,0,in,Insulto,Satírica,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
4384784506,@CarlaZambelli38 #LulaPresidente2022,342,975127727501185025,"list(start = 17, end = 36, tag = \LulaPresidente2022\)",FALSE,1422630514406592521,Twitter for Android,2021-08-03T21:21:52.000Z,replied_to,1422630514406592521,1422669070369968128,0,0,0,0,und,Não Ofensivo,Outra,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
1395331305735397385,@Biakicis @g1 @jairbolsonaro https://t.co/MY1TXDJad5,343,357030742,NULL,FALSE,1444619354679742465,Twitter Web App,2021-10-04T17:59:56.000Z,replied_to,1444619354679742465,1445086296159002635,0,0,0,0,und,Não Ofensivo,Outra,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
70777926,"@joicehasselmann Mulher do céu, pare com isso, vc é a sua própria inimiga. Preserve-se.",344,116519514,NULL,FALSE,1422011105925337089,Twitter for iPhone,2021-08-02T22:27:22.000Z,replied_to,1422011105925337089,1422323162163855364,0,0,0,0,pt,Insulto,Satírica,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
1360289775555641350,@jandira_feghali Escravidão Vol 1 - Laurentino Gomes,345,39116717,NULL,FALSE,1454038179435122696,Twitter for Android,2021-10-29T13:29:27.000Z,replied_to,1454077924378808323,1454038179435122696,0,0,0,0,pt,Crítica,Satírica,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
1253683812371857410,"@marcofeliciano @alesilva_38 @SergioReis O senhor apoia a derrubada do STF, deputado?",346,35805725,NULL,FALSE,1427664859483754501,Twitter for iPhone,2021-08-18T14:00:08.000Z,replied_to,1427664859483754501,1427993718599176201,0,0,0,0,pt,Não Ofensivo,Outra,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
1439846534540152832,@Iucascomenta Mas eles não sabiam que ele ia fazer isso a deputada maria do rosário do PT defendeu um estuprador assassino menor de idade vulgo champinha ela também merece ser presa por defender estuprador assassino,347,1139343964614594560,NULL,FALSE,1441774129829515264,Twitter for Android,2021-09-26T00:14:27.000Z,replied_to,1441774129829515264,1441919057733816329,0,0,0,0,pt,Crítica,Provocadora,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
1421148832361066497,"@CarlaZambelli38 @PauloBengtson Zabelê! Quem tá passando vergonha é você e seu chefe. Ela nunca falou que era possível estocar vento, ela diz exatamente o contrário. É mais que óbvio que se refere à energia eólica.
A tecnologia: Liquid Air Energy Storage
https://t.co/ZlmrVIPyWx",348,975127727501185025,NULL,FALSE,1440705803669831682,Twitter Web App,2021-09-22T17:11:39.000Z,replied_to,1440705803669831682,1440725494110973952,0,0,1,0,pt,Não Ofensivo,Outra,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
635455276,@radioptbrasil @LulaOficial @ptbrasil @gleisi @fatimabezerra Ladrões!,349,1374034828513980422,NULL,FALSE,1430183704337473544,Twitter for Android,2021-08-24T15:55:19.000Z,replied_to,1430183704337473544,1430197034812903431,0,0,0,0,pt,Insulto,Desqualificadora,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
1103463446664892416,@gleisi Cadê o dinheiro dos aposentados???????,350,31139434,NULL,FALSE,1424835909745266692,Twitter for Android,2021-08-10T01:00:14.000Z,replied_to,1424835909745266692,1424898347589066756,0,0,0,0,pt,Não Ofensivo,Outra,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
